place_id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?,photo,address
ChIJuw1VZ0tawokRJbjRretbzwM,Sheraton Brooklyn New York Hotel,1485,1,337.82171965375534,2,4,0,15,1,['CmRaAAAAsKZnJiXEqpho6aRkUUSzQCQi94Yex1WUT1usABt_83ttV_TcnfOjCZPjuTSk-bNy4QI9MQIwX8a5m__RlzHtaSszr-jed5PoCO7l6KCh3qWx5X9Cp7bvuD7aW7jE_oDwEhCWW7QjMn7bnd0JwMq4s-9JGhS_MSvvT3N5sVGPYuTS_D6ubXvwHg'],"228 Duffield Street, Brooklyn"
ChIJuw1VZ0tawokRJbjRretbzwM,Sheraton Brooklyn New York Hotel,1485,1,337.82171965375534,2,4,0,15,1,['CmRaAAAAsKZnJiXEqpho6aRkUUSzQCQi94Yex1WUT1usABt_83ttV_TcnfOjCZPjuTSk-bNy4QI9MQIwX8a5m__RlzHtaSszr-jed5PoCO7l6KCh3qWx5X9Cp7bvuD7aW7jE_oDwEhCWW7QjMn7bnd0JwMq4s-9JGhS_MSvvT3N5sVGPYuTS_D6ubXvwHg'],"228 Duffield Street, Brooklyn"
ChIJUSwK_UtawokRSrPzsarZbUI,Shake Shack,3087,0,322.0435014092503,2,4.3,0,30,0,['CmRaAAAApYyp5K2nkEp6GB9EIfwrZA49d-8LKrrB_titNcd_vrMCdqyE05JmCJUjvxpTX9TUNv2bGforWMUpkH6qvPdWOF45yNmXwAKCIneJisRIO4XB4GrJkHzzWH_cndUWkl0IEhAPqKy57tS58njq4cb6c7CsGhRG1ZpfvuECiXVbrRqcdLK4l2rmvQ'],"409 Fulton Street, Brooklyn"
ChIJUSwK_UtawokRSrPzsarZbUI,Shake Shack,3087,0,322.0435014092503,2,4.3,0,30,0,['CmRaAAAApYyp5K2nkEp6GB9EIfwrZA49d-8LKrrB_titNcd_vrMCdqyE05JmCJUjvxpTX9TUNv2bGforWMUpkH6qvPdWOF45yNmXwAKCIneJisRIO4XB4GrJkHzzWH_cndUWkl0IEhAPqKy57tS58njq4cb6c7CsGhRG1ZpfvuECiXVbrRqcdLK4l2rmvQ'],"409 Fulton Street, Brooklyn"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,436,0,425.86112822668093,2,4.2,0,20,0,['CmRaAAAA8mmFeLPq9qwJ2p8dkAk95YT48dl8xbJunI1dEW2V3RILu3iQUbG9RuXxC0Wfn8yFfYVqw2kSTmHl2XiJvcDGACs8SCCELldm6I_AKRqDA4Igw2yYxw-cWXbyhY48EWdBEhDXouA3mOTjsr9YS1uuKucGGhReNURSrDo--iWHbaCp6fcP6_78kQ'],"27 Smith Street, Brooklyn"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,436,0,425.86112822668093,2,4.2,0,20,0,['CmRaAAAA8mmFeLPq9qwJ2p8dkAk95YT48dl8xbJunI1dEW2V3RILu3iQUbG9RuXxC0Wfn8yFfYVqw2kSTmHl2XiJvcDGACs8SCCELldm6I_AKRqDA4Igw2yYxw-cWXbyhY48EWdBEhDXouA3mOTjsr9YS1uuKucGGhReNURSrDo--iWHbaCp6fcP6_78kQ'],"27 Smith Street, Brooklyn"
ChIJ5be_-0hawokR5TcyaTRDaL4,Chipotle Mexican Grill,600,0,483.52139917269545,1,4,0,30,0,['CmRaAAAA-_4o1eb_ak_U5aSpEkLyUmrWesBi1YW4WsIo9prdcVwxLHPuL097En480W9Akwv8BdC6tJxOENyrm-3jjhH-XXFnxvHKH8BrmRPu1Ng-1D88XhwSBVX14KKNj2EKCrqoEhCEEBh7JKItpTIe_WYjYNDlGhRInC1u-C_1RZ2KxMBT1wZK-dh3MQ'],"185 Montague Street, Brooklyn"
ChIJ5be_-0hawokR5TcyaTRDaL4,Chipotle Mexican Grill,600,0,483.52139917269545,1,4,0,90,0,['CmRaAAAA-_4o1eb_ak_U5aSpEkLyUmrWesBi1YW4WsIo9prdcVwxLHPuL097En480W9Akwv8BdC6tJxOENyrm-3jjhH-XXFnxvHKH8BrmRPu1Ng-1D88XhwSBVX14KKNj2EKCrqoEhCEEBh7JKItpTIe_WYjYNDlGhRInC1u-C_1RZ2KxMBT1wZK-dh3MQ'],"185 Montague Street, Brooklyn"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,777,0,277.9514669379282,2,4,0,15,1,['CmRaAAAAQ2cl6tQh7rF-BpJU0efUou7PsClRHy-7KKyE-Z3DcrldgvPyDSS28TzLAY-cFKudNbkiVCaFT4FOEVTWf2UzQdPkYCLuIl2DZBWmxWUI6_bWtVyYiKw2pxf-ma0vBflmEhApbOkgcUic2VLTLPt8WlhTGhQx3rocBm1e2ZGin0Hs8jWFwcyAVA'],"345 Adams Street, Brooklyn"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,777,0,277.9514669379282,2,4,0,45,1,['CmRaAAAAQ2cl6tQh7rF-BpJU0efUou7PsClRHy-7KKyE-Z3DcrldgvPyDSS28TzLAY-cFKudNbkiVCaFT4FOEVTWf2UzQdPkYCLuIl2DZBWmxWUI6_bWtVyYiKw2pxf-ma0vBflmEhApbOkgcUic2VLTLPt8WlhTGhQx3rocBm1e2ZGin0Hs8jWFwcyAVA'],"345 Adams Street, Brooklyn"
