place_id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?,photo,address
ChIJ0SMraI-AhYAREeJAvm2_yGM,Hotel Fusion,701,0,4139925.098986293,2,3.8,0,15,1,['CmRaAAAAj8zIByHQwKivh8r72Cjk-GqpYDNvfvQK7ldj7sS8HGJ5CX1Dhu03AMJ8wt_pa6R0hrbvgX42Pdk40qzVuJTYv3tq567P_lYTFF4vTUY1JjWfCXfSW6DnFnJL9LF-ANsqEhAYrF_Cvh5waBnNjJc9Wb2cGhQciSlC2R3RnK6Z758tkct8jveGTg'],"140 Ellis St, San Francisco, CA 94102, USA"
ChIJ0SMraI-AhYAREeJAvm2_yGM,Hotel Fusion,701,0,4139925.098986293,2,3.8,0,15,1,['CmRaAAAAj8zIByHQwKivh8r72Cjk-GqpYDNvfvQK7ldj7sS8HGJ5CX1Dhu03AMJ8wt_pa6R0hrbvgX42Pdk40qzVuJTYv3tq567P_lYTFF4vTUY1JjWfCXfSW6DnFnJL9LF-ANsqEhAYrF_Cvh5waBnNjJc9Wb2cGhQciSlC2R3RnK6Z758tkct8jveGTg'],"140 Ellis St, San Francisco, CA 94102, USA"
ChIJf215c4-AhYAR1jYbKf_Y5X8,Hotel Nikko San Francisco,2518,0,4139982.359679395,2,4.4,0,15,1,['CmRaAAAAbe0-x2SauqpJApx6iIDvI2cKY9bozjLeHar11zPc56_l7hdCVeFW3yKs5N10U9ifhHfMSGuVU31KRyZMI6KPu2hMO60eQp5TLU8MLlOzv7ofjhly9tfMW7DC2LA8kBJYEhAqZUzBx58CKMo4X6-UoZKsGhTq9rDWmJExBhQx_V5xXrbsQM0AoQ'],"222 Mason St, San Francisco, CA 94102, USA"
ChIJf215c4-AhYAR1jYbKf_Y5X8,Hotel Nikko San Francisco,2518,0,4139982.359679395,2,4.4,0,15,1,['CmRaAAAAbe0-x2SauqpJApx6iIDvI2cKY9bozjLeHar11zPc56_l7hdCVeFW3yKs5N10U9ifhHfMSGuVU31KRyZMI6KPu2hMO60eQp5TLU8MLlOzv7ofjhly9tfMW7DC2LA8kBJYEhAqZUzBx58CKMo4X6-UoZKsGhTq9rDWmJExBhQx_V5xXrbsQM0AoQ'],"222 Mason St, San Francisco, CA 94102, USA"
ChIJ6zMe3oWAhYARaZ33Z1BAMRo,Westfield San Francisco Centre,14623,0,4139797.3950630366,2,4.3,0,30,1,['CmRaAAAAAxXtTSZhdB_2waJ_wsLel3O9pTykP9VEb-ZTdmEY6uM4gGEOMexg9hMD6ut4Cs3H1UyxlqKEpYdmYpBsZSttP8KZufUan66I8uVePuF5nl3WUnSLPmW5b7CCE7B_HMrIEhDvMdaoyUBT4qyi3Vf_t2AvGhQko1fWb0xduc6WT8gK8aNLKwPPvw'],"865 Market St, San Francisco, CA 94103, USA"
ChIJ6zMe3oWAhYARaZ33Z1BAMRo,Westfield San Francisco Centre,14623,0,4139797.3950630366,2,4.3,0,90,1,['CmRaAAAAAxXtTSZhdB_2waJ_wsLel3O9pTykP9VEb-ZTdmEY6uM4gGEOMexg9hMD6ut4Cs3H1UyxlqKEpYdmYpBsZSttP8KZufUan66I8uVePuF5nl3WUnSLPmW5b7CCE7B_HMrIEhDvMdaoyUBT4qyi3Vf_t2AvGhQko1fWb0xduc6WT8gK8aNLKwPPvw'],"865 Market St, San Francisco, CA 94103, USA"
ChIJ6zMe3oWAhYARvOimeV5H7_w,Century San Francisco Centre 9 and XD,805,0,4139775.2860159865,2,4.4,0,15,1,['CmRaAAAAAYh9n_LQSZgU_m6yAwXfVJg5gr-zNysIncgwi7uHck4J9hQJeOKveMTIxXzFGAgoiOeUBIb-ldj72IB4ToAUFPKonY8pxh9dU1hJVay0I70HEAnD5_vSc0dF08GNtoclEhDxK0n-TVo8QDHBxjxe-dq0GhSS6phs6nEyQNvg8eq5s6lWzSIi9A'],"835 Market St #5000, San Francisco, CA 94103, USA"
ChIJ6zMe3oWAhYARvOimeV5H7_w,Century San Francisco Centre 9 and XD,805,0,4139775.2860159865,2,4.4,0,15,1,['CmRaAAAAAYh9n_LQSZgU_m6yAwXfVJg5gr-zNysIncgwi7uHck4J9hQJeOKveMTIxXzFGAgoiOeUBIb-ldj72IB4ToAUFPKonY8pxh9dU1hJVay0I70HEAnD5_vSc0dF08GNtoclEhDxK0n-TVo8QDHBxjxe-dq0GhSS6phs6nEyQNvg8eq5s6lWzSIi9A'],"835 Market St #5000, San Francisco, CA 94103, USA"
ChIJUUjhfoaAhYARRuSNp1R18vs,The Cavalier,759,0,4139890.5980425724,3,4.4,0,15,0,['CmRaAAAAPssQTQK_EYp6yoGVPRMzB9v8iep4_BbIJl8vJoH4cNsco7jetmmFdW1h86zg7Qb8AOQKCi3fxG4NDVl_XEwqnvict3XH2r6lt_3ZXZxbBKGccPSXBQ2xA6AfGwY03cHxEhBbEHIxSrIS9hs9xOxnyburGhSZusa4RGq5mfUrmjI0A4422lLpAw'],"360 Jessie, San Francisco, CA 94103, USA"
ChIJUUjhfoaAhYARRuSNp1R18vs,The Cavalier,759,0,4139890.5980425724,3,4.4,0,15,0,['CmRaAAAAPssQTQK_EYp6yoGVPRMzB9v8iep4_BbIJl8vJoH4cNsco7jetmmFdW1h86zg7Qb8AOQKCi3fxG4NDVl_XEwqnvict3XH2r6lt_3ZXZxbBKGccPSXBQ2xA6AfGwY03cHxEhBbEHIxSrIS9hs9xOxnyburGhSZusa4RGq5mfUrmjI0A4422lLpAw'],"360 Jessie, San Francisco, CA 94103, USA"
