place_id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?,photo,address
ChIJ0SMraI-AhYAREeJAvm2_yGM,Hotel Fusion,701,0,4139925.098986293,2,3.8,0,15,1,['CmRaAAAATJy_w6nad_1ZVXqcKBqTrol3_DSmoVS__OqNvei_a4K23ayVXLkD0I8H8wggnap-2wQeaPFqbcwJ49cSzqBT1HkPgkYn3R6qrc9YYpFxyLvKIBHbdE4nsZ32IZbkS0D0EhAXavR2dH-OGypgttFKbYNMGhQr3nUJv8Uo1qV0F1P-6ogkUZyGrA'],"140 Ellis St, San Francisco, CA 94102, USA"
ChIJ0SMraI-AhYAREeJAvm2_yGM,Hotel Fusion,701,0,4139925.098986293,2,3.8,0,15,1,['CmRaAAAATJy_w6nad_1ZVXqcKBqTrol3_DSmoVS__OqNvei_a4K23ayVXLkD0I8H8wggnap-2wQeaPFqbcwJ49cSzqBT1HkPgkYn3R6qrc9YYpFxyLvKIBHbdE4nsZ32IZbkS0D0EhAXavR2dH-OGypgttFKbYNMGhQr3nUJv8Uo1qV0F1P-6ogkUZyGrA'],"140 Ellis St, San Francisco, CA 94102, USA"
ChIJf215c4-AhYAR1jYbKf_Y5X8,Hotel Nikko San Francisco,2518,0,4139982.359679395,2,4.4,0,15,1,['CmRaAAAAxQQaR_NWwq-KVT5hPASC5IhG6CQD5YE4I5Qx4gd5X6ZYzVzKFYGujVpWcHBhooEzs34efUxFuBtxeeoGdOXHkQfxazFaif2WTawrQof4FlmyMCtKlAK2kv8j3y365l_6EhD4Yl_pGm_ydhb404CUhtZtGhRtRSagW5XcC8mPfzrBRWb2H6L8OQ'],"222 Mason St, San Francisco, CA 94102, USA"
ChIJf215c4-AhYAR1jYbKf_Y5X8,Hotel Nikko San Francisco,2518,0,4139982.359679395,2,4.4,0,15,1,['CmRaAAAAxQQaR_NWwq-KVT5hPASC5IhG6CQD5YE4I5Qx4gd5X6ZYzVzKFYGujVpWcHBhooEzs34efUxFuBtxeeoGdOXHkQfxazFaif2WTawrQof4FlmyMCtKlAK2kv8j3y365l_6EhD4Yl_pGm_ydhb404CUhtZtGhRtRSagW5XcC8mPfzrBRWb2H6L8OQ'],"222 Mason St, San Francisco, CA 94102, USA"
ChIJ6zMe3oWAhYARaZ33Z1BAMRo,Westfield San Francisco Centre,14607,0,4139797.3950630366,2,4.3,0,30,1,['CmRaAAAAIwufcRAmnQokKKWZICUMk_Jn0KGpSr9MBTyxG_OhJZWNdJpwiB_O4P2M7OTFc57Z8VzKCzh27HXkyOeFXlSnMoHQyYqKsyimLIuORxZ176ZIgs9A-b4HjtkoEWjlq939EhBBmkcuDNNam7PX9zq8oXa5GhRwcSS9Ak-tzwR_CzWw0BkWiu3xYw'],"865 Market St, San Francisco, CA 94103, USA"
ChIJ6zMe3oWAhYARaZ33Z1BAMRo,Westfield San Francisco Centre,14607,0,4139797.3950630366,2,4.3,0,90,1,['CmRaAAAAIwufcRAmnQokKKWZICUMk_Jn0KGpSr9MBTyxG_OhJZWNdJpwiB_O4P2M7OTFc57Z8VzKCzh27HXkyOeFXlSnMoHQyYqKsyimLIuORxZ176ZIgs9A-b4HjtkoEWjlq939EhBBmkcuDNNam7PX9zq8oXa5GhRwcSS9Ak-tzwR_CzWw0BkWiu3xYw'],"865 Market St, San Francisco, CA 94103, USA"
ChIJ6zMe3oWAhYARvOimeV5H7_w,Century San Francisco Centre 9 and XD,805,0,4139775.2860159865,2,4.4,0,15,1,['CmRaAAAAmmTzz8vCZ5hjRKicaUznyThI8QGjENfFRdcXWyK5qqigI2ATbny15azftNVT71XsaF-ZsMapMGJnNaKyfQYVGZaxnv66C9oqp43SUSBrWF4Id4IjR_SPgVMbp8WwCW6_EhBnY9mnDqpkXbWQHZVbSFJCGhQBtGj8vMlSYwUqk2mJM8pDJFhapg'],"835 Market St #5000, San Francisco, CA 94103, USA"
ChIJ6zMe3oWAhYARvOimeV5H7_w,Century San Francisco Centre 9 and XD,805,0,4139775.2860159865,2,4.4,0,15,1,['CmRaAAAAmmTzz8vCZ5hjRKicaUznyThI8QGjENfFRdcXWyK5qqigI2ATbny15azftNVT71XsaF-ZsMapMGJnNaKyfQYVGZaxnv66C9oqp43SUSBrWF4Id4IjR_SPgVMbp8WwCW6_EhBnY9mnDqpkXbWQHZVbSFJCGhQBtGj8vMlSYwUqk2mJM8pDJFhapg'],"835 Market St #5000, San Francisco, CA 94103, USA"
ChIJUUjhfoaAhYARRuSNp1R18vs,The Cavalier,758,0,4139890.5980425724,3,4.4,0,15,0,['CmRaAAAALvQYU9ExoQjabVwU5al9lVUNKBplAZSZexL5z7ieuh8A9E6dWdkF18BL5jd_69OAD2FfV5Q4ROTEviOp_08dzngZlfMp2Fri8v4ff84Tw8dVgomcSyF0fXL4kLNtgC-BEhAgiFu3hVwcfpNZuqwRmaPPGhRz3w4w9a-PMjCib3mjLHnmWH7ebA'],"360 Jessie St, San Francisco, CA 94103, USA"
ChIJUUjhfoaAhYARRuSNp1R18vs,The Cavalier,758,0,4139890.5980425724,3,4.4,0,15,0,['CmRaAAAALvQYU9ExoQjabVwU5al9lVUNKBplAZSZexL5z7ieuh8A9E6dWdkF18BL5jd_69OAD2FfV5Q4ROTEviOp_08dzngZlfMp2Fri8v4ff84Tw8dVgomcSyF0fXL4kLNtgC-BEhAgiFu3hVwcfpNZuqwRmaPPGhRz3w4w9a-PMjCib3mjLHnmWH7ebA'],"360 Jessie St, San Francisco, CA 94103, USA"
ChIJZR1IXIiAhYARVdRHncWNWRY,Hakkasan,1008,0,4139440.8159530293,3,4.4,0,90,0,['CmRaAAAAgUXtJo9X39ufO6yu5fMElgmD9U2l0eyQS3PdxHVMPivZvn0aqtim6tZ6ndjieYXqrZxnqinUzq5JU6NDd4IliIJoAxD4WlRbvxox0BeaAk1f26zbeTLv-5X4h3W7_bssEhBJY047rNmUB0-E9F3E7Yc8GhSV7IJKbjrHdaxBYYbVPVPO_uV1nQ'],"1 Kearny St, San Francisco, CA 94108, USA"
ChIJZR1IXIiAhYARVdRHncWNWRY,Hakkasan,1008,0,4139440.8159530293,3,4.4,0,150,0,['CmRaAAAAgUXtJo9X39ufO6yu5fMElgmD9U2l0eyQS3PdxHVMPivZvn0aqtim6tZ6ndjieYXqrZxnqinUzq5JU6NDd4IliIJoAxD4WlRbvxox0BeaAk1f26zbeTLv-5X4h3W7_bssEhBJY047rNmUB0-E9F3E7Yc8GhSV7IJKbjrHdaxBYYbVPVPO_uV1nQ'],"1 Kearny St, San Francisco, CA 94108, USA"
ChIJD3SSEnyAhYARIINe4K2QH48,Bluestem Brasserie,632,0,4139620.4930865588,3,4.1,0,90,0,['CmRaAAAAD-Ti_441edHp-VriCnoj1ZRqQfvax12SA8V-rwW9lT8rxnhwRWcL9yegdmRIVEiyqToG5XPVtlkL8QgxnCuJ-sU03-eRH6DuRstH3uvgrzUYHSdYpKrQ-F0HqMmyw81REhCaNzgzF8TKMZYB7yyMhf-LGhT6AbU6Rx1kH4EeilJ6CfTgVnJM9g'],"1 Yerba Buena Ln, San Francisco, CA 94103, USA"
