id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
87,Fortina,240,0,419.22183960168854,2,4.1,0,10,56
88,Fortina,240,0,419.22183960168854,2,4.1,0,45,56
89,Guss' Pickles,25,0,424.2845382741983,2,4.2,0,15,56
90,Guss' Pickles,25,0,424.2845382741983,2,4.2,0,15,56
91,Antonio's Pizzeria,84,0,446.3042102245476,1,3.9,0,15,56
92,Antonio's Pizzeria,84,0,446.3042102245476,1,3.9,0,15,56
93,Fulton Hot Dog King,235,0,439.02291853045875,2,4.4,0,10,56
94,Fulton Hot Dog King,235,0,439.02291853045875,2,4.4,0,45,56
95,Asian City,333,0,234.0619968319014,2,2.3,0,15,56
96,Asian City,333,0,234.0619968319014,2,2.3,0,15,56
97,honeygrow,301,0,475.4195427825694,2,4.3,0,20,74
98,honeygrow,301,0,475.4195427825694,2,4.3,0,45,74
99,Dining Room,153,0,205.12610388134019,1,4.0,0,20,7
100,Dining Room,153,0,205.12610388134019,1,4.0,0,90,7
101,Kung Fu Tea,166,0,479.0135430407777,1,4.2,0,20,16
102,Kung Fu Tea,166,0,479.0135430407777,1,4.2,0,20,16
103,Bella,37,0,479.77360737611764,1,3.0,0,15,56
104,Bella,37,0,479.77360737611764,1,3.0,0,15,56
105,Lee's Villa,75,0,246.81130493614864,1,4.1,0,20,56
106,Lee's Villa,75,0,246.81130493614864,1,4.1,0,60,56
107,Potbelly Sandwich Shop,251,0,244.36996810832792,1,4.2,0,20,63
108,Potbelly Sandwich Shop,251,0,244.36996810832792,1,4.2,0,20,63
109,Blimpie,390,0,262.77911398256026,1,4.0,0,20,56
110,Blimpie,390,0,262.77911398256026,1,4.0,0,20,56
111,Fresh 99 cents pizza,119,0,182.35143637425293,1,4.4,0,15,56
112,Fresh 99 cents pizza,119,0,182.35143637425293,1,4.4,0,15,56
113,Juice Press,333,0,498.4364418666816,2,3.7,0,15,56
114,Juice Press,333,0,498.4364418666816,2,3.7,0,15,56
115,Metro Star,100,0,157.89638141002249,1,4.1,0,15,73
116,Metro Star,100,0,157.89638141002249,1,4.1,0,15,73
117,Brooklyn Deli,59,0,208.72960692079923,1,3.5,0,15,33
118,Brooklyn Deli,59,0,208.72960692079923,1,3.5,0,15,33
119,Lin's Yummy Taco,179,0,202.09194551449468,2,3.9,0,10,56
120,Lin's Yummy Taco,179,0,202.09194551449468,2,3.9,0,10,56
121,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,66
122,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,66
123,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,95
124,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,95
125,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,60,32
126,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,120,32
